year,state,homes_sold,population
2023,Louisiana,106,"4,588,071 "
2022,Idaho,42,"1,944,299 "
2020,New Jersey,533,"9,272,794 "
2021,North Carolina,1526,"10,564,320 "
2020,Delaware,526,"991,928 "
2024,Massachusetts,5135,"7,136,171 "
2023,Delaware,6,"1,036,423 "
2021,Tennessee,9307,"6,965,740 "
2024,New Jersey,483,"9,500,851 "
2021,Missouri,548,"6,171,374 "
2024,New Mexico,845,"2,130,256 "
2022,Kentucky,91,"4,519,233 "
2020,Montana,1604,"1,087,230 "
2023,Texas,850,"30,727,890 "
2024,Illinois,475,"12,710,158 "
2023,Michigan,1705,"10,083,356 "
2022,California,36114,"39,142,414 "
2020,Florida,2865,"21,592,035 "
2023,Florida,365,"22,904,868 "
2023,Indiana,248,"6,880,131 "
2020,Arkansas,72,"3,014,546 "
2022,North Carolina,15493,"10,710,793 "
2024,South Carolina,32,"5,478,831 "
2021,Maryland,8763,"6,179,403 "
2021,Delaware,241,"1,005,062 "
2022,Hawaii,703,"1,440,359 "
2022,Kansas,86,"2,937,324 "
2021,Vermont,28,"647,210 "
2021,North Dakota,387,"777,966 "
2020,Washington,638,"7,727,209 "
2022,Alaska,694,"734,442 "
2023,Nevada,17,"3,214,363 "
2023,California,24144,"39,198,693 "
2023,Columbia,18,"687,324 "
2023,Vermont,613,"648,708 "
2024,Idaho,15,"2,001,619 "
2022,Mississippi,1556,"2,941,939 "
2020,California,5222,"39,521,958 "
2024,Wisconsin,619,"5,960,975 "
2022,Missouri,86,"6,179,414 "
2021,New York,313,"19,848,276 "
2024,Arizona,6746,"7,582,384 "
2020,North Dakota,227,"779,563 "
2022,Columbia,360,"676,725 "
2020,Mississippi,2259,"2,958,536 "
2021,North Dakota,469,"777,966 "
2022,New York,11315,"19,703,747 "
2020,New York,13331,"20,105,171 "
2020,Arkansas,33,"3,014,546 "
2020,Wisconsin,380,"5,897,375 "
2024,Missouri,6108,"6,245,466 "
2024,New Hampshire,152,"1,409,032 "
2020,Rhode Island,1,"1,096,530 "
2022,Iowa,2992,"3,202,820 "
2021,Florida,3517,"21,831,949 "
2022,Minnesota,1067,"5,721,621 "
2024,Kansas,48,"2,970,606 "
2020,Vermont,10,"642,977 "
2023,West Virginia,652,"1,770,495 "
2024,New Jersey,5097,"9,500,851 "
2020,West Virginia,749,"1,791,646 "
2023,South Dakota,570,"918,305 "
2023,Virginia,675,"8,734,685 "
2024,Wyoming,19,"587,618 "
2023,Delaware,18,"1,036,423 "
2021,Kansas,54,"2,938,338 "
2024,Ohio,744,"11,883,304 "
2020,Michigan,175,"10,072,703 "
2023,Arizona,520,"7,473,027 "
2024,Mississippi,44,"2,943,045 "
2021,Colorado,6842,"5,814,036 "
2022,New Mexico,72,"2,113,868 "
2020,Oregon,7096,"4,243,779 "
2021,Virginia,2844,"8,658,910 "
2024,Kentucky,220,"4,588,372 "
2021,Illinois,12353,"12,700,641 "
2024,Iowa,3134,"3,241,488 "
2023,Iowa,27,"3,218,414 "
2020,Virginia,52,"8,637,615 "
2024,Indiana,113,"6,924,275 "
2022,Columbia,979,"676,725 "
2024,Kansas,40,"2,970,606 "
2024,Kansas,95,"2,970,606 "
2024,Louisiana,3611,"4,597,740 "
2020,Arizona,97,"7,187,135 "
2020,Wyoming,15,"577,681 "
2024,Illinois,1713,"12,710,158 "
2022,New Mexico,58,"2,113,868 "
2022,Alaska,134,"734,442 "
2020,Illinois,469,"12,799,088 "
2023,Wyoming,11,"585,067 "
2024,Colorado,6112,"5,957,493 "
2023,Connecticut,678,"3,643,023 "
2023,Tennessee,379,"7,148,304 "
2024,Utah,2613,"3,503,613 "
2020,Massachusetts,5551,"6,994,598 "
2023,Nebraska,25,"1,987,864 "
2022,Montana,92,"1,122,095 "
2024,Georgia,9924,"11,180,878 "
2022,Maine,97,"1,390,922 "
2024,Arkansas,2068,"3,088,354 "
2024,North Dakota,46,"796,568 "
2022,Wisconsin,440,"5,903,975 "
2021,Indiana,174,"6,815,907 "
2024,Utah,2338,"3,503,613 "
2024,Louisiana,81,"4,597,740 "
2020,Arkansas,3562,"3,014,546 "
2022,Maryland,465,"6,192,440 "
2024,Oregon,3509,"4,272,371 "
2021,Arkansas,36,"3,026,870 "
2024,Oregon,301,"4,272,371 "
2022,Colorado,59,"5,850,935 "
2021,South Carolina,6104,"5,194,274 "
2022,Georgia,11154,"10,931,805 "
2021,Rhode Island,1560,"1,097,246 "
2022,Wisconsin,5205,"5,903,975 "
2022,Michigan,1120,"10,050,877 "
2023,Hawaii,552,"1,441,387 "
2024,Alabama,5182,"5,157,699 "
2024,Connecticut,2277,"3,675,069 "
2022,Pennsylvania,356,"12,984,990 "
2020,Nebraska,2070,"1,963,387 "
2024,Oklahoma,72,"4,095,393 "
2024,Indiana,7582,"6,924,275 "
2023,Wisconsin,591,"5,930,405 "
2022,South Dakota,48,"909,723 "
2022,Wisconsin,425,"5,903,975 "
2021,Washington,194,"7,743,760 "
2021,South Carolina,6449,"5,194,274 "
2022,Oklahoma,22,"4,026,229 "
2020,New York,7178,"20,105,171 "
2024,Oklahoma,4128,"4,095,393 "
2024,New York,11929,"19,867,248 "
2021,Wisconsin,9652,"5,881,608 "
2022,Nebraska,85,"1,972,246 "
2022,Hawaii,445,"1,440,359 "
2023,Rhode Island,572,"1,103,429 "
2023,New Mexico,2,"2,121,164 "
2021,Washington,1069,"7,743,760 "
2024,Georgia,994,"11,180,878 "
2020,Alabama,11,"5,033,094 "
2020,Vermont,45,"642,977 "
2021,Minnesota,5506,"5,718,660 "
2024,Florida,22245,"23,372,215 "
2020,Louisiana,3023,"4,652,301 "
2022,Vermont,53,"648,142 "
2023,Maine,167,"1,399,646 "
2021,New Jersey,580,"9,270,541 "
2023,Idaho,2196,"1,971,122 "
2023,North Carolina,32,"10,881,189 "
2021,Missouri,8166,"6,171,374 "
2024,West Virginia,822,"1,769,979 "
2022,Delaware,689,"1,020,625 "
2023,Mississippi,6,"2,943,172 "
2021,Florida,407,"21,831,949 "
2022,Mississippi,11,"2,941,939 "
2022,Washington,6589,"7,794,123 "
2023,New Mexico,26,"2,121,164 "
2023,Vermont,324,"648,708 "
2020,Montana,112,"1,087,230 "
2021,Hawaii,5,"1,447,029 "
2023,New York,1624,"19,737,367 "
2020,Wisconsin,652,"5,897,375 "
2020,Idaho,1991,"1,849,415 "
2020,Minnesota,9323,"5,710,735 "
2023,Oklahoma,17,"4,063,882 "
2023,Michigan,6286,"10,083,356 "
2023,Nevada,493,"3,214,363 "
2020,Idaho,75,"1,849,415 "
2021,Florida,3921,"21,831,949 "
2020,Maine,1967,"1,364,571 "
2022,Louisiana,101,"4,593,687 "
2020,Mississippi,23,"2,958,536 "
2020,Georgia,734,"10,732,888 "
2022,Minnesota,1136,"5,721,621 "
2020,Louisiana,147,"4,652,301 "
2024,Pennsylvania,3327,"13,078,751 "
2022,Indiana,7532,"6,844,545 "
2022,Missouri,123,"6,179,414 "
2023,New Jersey,827,"9,379,642 "
2020,New Jersey,423,"9,272,794 "
2022,West Virginia,88,"1,774,122 "
2021,Idaho,85,"1,904,848 "
2023,West Virginia,874,"1,770,495 "
2022,Louisiana,3009,"4,593,687 "
2020,Delaware,51,"991,928 "
2024,Nebraska,19,"2,005,465 "
2020,Washington,969,"7,727,209 "
2024,Indiana,7237,"6,924,275 "
2020,Pennsylvania,316,"12,996,143 "
2024,Mississippi,1429,"2,943,045 "
2023,Washington,5568,"7,857,320 "
2021,Indiana,128,"6,815,907 "
2020,Georgia,711,"10,732,888 "
2024,New Hampshire,1277,"1,409,032 "
2024,Nevada,3228,"3,267,467 "
2024,Washington,120,"7,958,180 "
2024,Columbia,104,"702,250 "
2021,Pennsylvania,16618,"13,015,571 "
2023,Minnesota,3300,"5,753,048 "
2022,Missouri,351,"6,179,414 "
2022,Alaska,629,"734,442 "
2020,Hawaii,5,"1,451,252 "
2021,Idaho,3508,"1,904,848 "
2021,New Hampshire,2322,"1,387,677 "
2023,Wyoming,14,"585,067 "
2022,Utah,620,"3,391,011 "
2023,Pennsylvania,13209,"13,017,721 "
2023,New Jersey,547,"9,379,642 "
2021,Delaware,707,"1,005,062 "
2022,West Virginia,128,"1,774,122 "
2022,Iowa,40,"3,202,820 "
2024,New Jersey,7338,"9,500,851 "
2023,Louisiana,2613,"4,588,071 "
2020,New Mexico,702,"2,118,606 "
2023,California,1056,"39,198,693 "
2022,South Dakota,986,"909,723 "
2024,Idaho,1967,"2,001,619 "
2021,New Jersey,10974,"9,270,541 "
2022,Pennsylvania,3807,"12,984,990 "
2022,South Dakota,978,"909,723 "
2024,South Carolina,511,"5,478,831 "
2024,New Hampshire,318,"1,409,032 "
2022,Ohio,58,"11,777,874 "
2022,Idaho,66,"1,944,299 "
2021,Arizona,102,"7,274,078 "
2023,South Carolina,15,"5,387,830 "
2022,New York,1101,"19,703,747 "
2020,Georgia,1324,"10,732,888 "
2023,Georgia,64,"11,064,432 "
2024,New Jersey,518,"9,500,851 "
2020,Nevada,317,"3,116,967 "
2020,Ohio,16036,"11,798,905 "
2023,New Mexico,561,"2,121,164 "
2021,Colorado,9685,"5,814,036 "
2021,Kansas,3375,"2,938,338 "
2024,Idaho,33,"2,001,619 "
2020,Hawaii,577,"1,451,252 "
2022,Rhode Island,217,"1,099,498 "
2023,Maine,96,"1,399,646 "
2021,Georgia,808,"10,792,060 "
2021,Colorado,119,"5,814,036 "
2024,Minnesota,80,"5,793,151 "
2021,Kansas,102,"2,938,338 "
2021,California,1323,"39,142,565 "
2022,Nebraska,2371,"1,972,246 "
2023,Maine,1372,"1,399,646 "
2024,Indiana,77,"6,924,275 "
2022,Wisconsin,4231,"5,903,975 "
2024,South Carolina,565,"5,478,831 "
2023,Oregon,59,"4,253,653 "
2021,Iowa,29,"3,198,613 "
2021,Delaware,18,"1,005,062 "
2023,Utah,3256,"3,443,222 "
2022,Maine,4,"1,390,922 "
2022,Massachusetts,901,"7,022,468 "
2024,New Jersey,873,"9,500,851 "
2022,Wyoming,14,"581,978 "
2022,Iowa,15,"3,202,820 "
2020,Nebraska,27,"1,963,387 "
2020,South Carolina,1045,"5,132,249 "
2020,Hawaii,626,"1,451,252 "
2022,Georgia,13644,"10,931,805 "
2024,Washington,685,"7,958,180 "
2022,New York,12026,"19,703,747 "
2020,Louisiana,173,"4,652,301 "
2020,Mississippi,37,"2,958,536 "
2020,Texas,34825,"29,239,570 "
2024,Georgia,57,"11,180,878 "
2024,Wisconsin,564,"5,960,975 "
2022,Tennessee,59,"7,062,217 "
2023,Pennsylvania,367,"13,017,721 "
2021,Maryland,6139,"6,179,403 "
2021,Maryland,7910,"6,179,403 "
2021,California,28909,"39,142,565 "
2020,West Virginia,4,"1,791,646 "
2022,Iowa,59,"3,202,820 "
2021,Arizona,929,"7,274,078 "
2020,Delaware,202,"991,928 "
2023,Columbia,93,"687,324 "
2021,Idaho,44,"1,904,848 "
2022,Hawaii,7,"1,440,359 "
2020,Utah,2665,"3,284,077 "
2024,Florida,2477,"23,372,215 "
2022,North Dakota,28,"781,057 "
2024,Wisconsin,45,"5,960,975 "
2020,Oregon,225,"4,243,779 "
2021,Pennsylvania,9892,"13,015,571 "
2022,Columbia,81,"676,725 "
2023,Kansas,28,"2,951,500 "
2022,Kentucky,233,"4,519,233 "
2020,Minnesota,221,"5,710,735 "
2022,West Virginia,848,"1,774,122 "
2021,Nevada,656,"3,148,141 "
2024,Delaware,292,"1,051,917 "
2020,Oregon,367,"4,243,779 "
2022,Illinois,1647,"12,621,821 "
2022,Montana,906,"1,122,095 "
2024,Nevada,22,"3,267,467 "
2020,South Carolina,885,"5,132,249 "
2023,Georgia,636,"11,064,432 "
2024,Ohio,11235,"11,883,304 "
2024,North Dakota,18,"796,568 "
2022,Arizona,9352,"7,377,566 "
2023,Rhode Island,852,"1,103,429 "
2024,Missouri,471,"6,245,466 "
2024,Columbia,261,"702,250 "
2021,South Dakota,11,"896,492 "
2023,Wisconsin,4493,"5,930,405 "
2021,Illinois,600,"12,700,641 "
2023,Alaska,49,"736,510 "
2023,Texas,30649,"30,727,890 "
2023,Ohio,11141,"11,824,034 "
2020,South Dakota,500,"887,948 "
2021,Iowa,4285,"3,198,613 "
2024,California,811,"39,431,263 "
2024,Maryland,1985,"6,263,220 "
2023,North Carolina,43,"10,881,189 "
2023,Delaware,161,"1,036,423 "
2022,Mississippi,2024,"2,941,939 "
2020,Columbia,359,"670,917 "
2022,Rhode Island,232,"1,099,498 "
2023,New Hampshire,1539,"1,402,199 "
2024,Missouri,4892,"6,245,466 "
2021,South Dakota,792,"896,492 "
2023,New Mexico,16,"2,121,164 "
2021,Alabama,7123,"5,049,196 "
2024,South Dakota,797,"924,669 "
2022,South Carolina,503,"5,287,935 "
2023,Wisconsin,4319,"5,930,405 "
2024,Wisconsin,570,"5,960,975 "
2023,Louisiana,3727,"4,588,071 "
2024,Ohio,786,"11,883,304 "
2022,Michigan,11383,"10,050,877 "
2020,New York,2562,"20,105,171 "
2021,North Dakota,258,"777,966 "
2020,Mississippi,20,"2,958,536 "
2024,South Carolina,603,"5,478,831 "
2020,Illinois,2264,"12,799,088 "
2023,Oregon,245,"4,253,653 "
2024,New Hampshire,5,"1,409,032 "
2020,New Hampshire,2067,"1,378,756 "
2022,Maryland,3105,"6,192,440 "
2021,Alaska,1099,"734,420 "
2022,New Mexico,814,"2,113,868 "
2021,Massachusetts,3438,"7,000,474 "
2024,South Dakota,13,"924,669 "
2024,Massachusetts,4213,"7,136,171 "
2022,Missouri,8985,"6,179,414 "
2023,New Mexico,1,"2,121,164 "
2022,Wyoming,5,"581,978 "
2021,Ohio,12844,"11,767,344 "
2022,New Hampshire,277,"1,396,678 "
2020,Utah,535,"3,284,077 "
2024,Wisconsin,337,"5,960,975 "
2024,Michigan,1,"10,140,459 "
2024,North Dakota,440,"796,568 "
2023,South Dakota,790,"918,305 "
2021,Nevada,50,"3,148,141 "
2024,Pennsylvania,10540,"13,078,751 "
2022,Rhode Island,946,"1,099,498 "
2022,Mississippi,1997,"2,941,939 "
2024,Washington,5129,"7,958,180 "
2023,Nevada,409,"3,214,363 "
2020,Arkansas,23,"3,014,546 "
2020,Alabama,256,"5,033,094 "
2024,Tennessee,428,"7,227,750 "
2021,Ohio,14848,"11,767,344 "
2021,Virginia,3102,"8,658,910 "
2020,Alaska,24,"733,017 "
2023,Oklahoma,79,"4,063,882 "
2023,Connecticut,635,"3,643,023 "
2024,Massachusetts,456,"7,136,171 "
2021,Montana,117,"1,106,522 "
2023,Louisiana,3804,"4,588,071 "
2022,Illinois,3697,"12,621,821 "
2023,Columbia,12,"687,324 "
2020,Georgia,57,"10,732,888 "
2020,Virginia,1192,"8,637,615 "
2023,Indiana,7844,"6,880,131 "
2020,Oklahoma,26,"3,965,415 "
2021,West Virginia,117,"1,785,618 "
2023,North Dakota,35,"789,047 "
2024,Minnesota,3722,"5,793,151 "
2023,Illinois,5061,"12,642,259 "
2021,North Dakota,351,"777,966 "
2020,Oregon,486,"4,243,779 "
2023,Nevada,301,"3,214,363 "
2022,Maryland,33,"6,192,440 "
2020,Montana,75,"1,087,230 "
2020,Pennsylvania,7298,"12,996,143 "
2024,Ohio,18,"11,883,304 "
2024,Alaska,284,"740,133 "
2020,Kentucky,40,"4,508,318 "
2020,Montana,14,"1,087,230 "
2024,Iowa,3048,"3,241,488 "
2022,Michigan,3,"10,050,877 "
2023,Pennsylvania,6641,"13,017,721 "
2023,Colorado,66,"5,901,339 "
2022,Alabama,11,"5,076,181 "
2023,South Carolina,589,"5,387,830 "
2020,Missouri,6254,"6,154,744 "
2022,Missouri,130,"6,179,414 "
2023,Wisconsin,68,"5,930,405 "
2023,West Virginia,917,"1,770,495 "
2020,Georgia,754,"10,732,888 "
2024,Louisiana,3268,"4,597,740 "
2021,Massachusetts,9271,"7,000,474 "
2023,North Dakota,240,"789,047 "
2021,Massachusetts,3657,"7,000,474 "
2020,Idaho,53,"1,849,415 "
2020,Washington,610,"7,727,209 "
2021,North Dakota,367,"777,966 "
2021,New Jersey,807,"9,270,541 "
2022,Arkansas,30,"3,047,704 "
2021,Maine,2053,"1,378,931 "
2021,Utah,603,"3,339,738 "
2020,Missouri,8693,"6,154,744 "
2020,Mississippi,1236,"2,958,536 "
2024,Kentucky,42,"4,588,372 "
2024,New Hampshire,1536,"1,409,032 "
2024,Wisconsin,326,"5,960,975 "
2023,Georgia,64,"11,064,432 "
2024,Iowa,24,"3,241,488 "
2022,North Carolina,15071,"10,710,793 "
2024,Pennsylvania,314,"13,078,751 "
2023,Maine,149,"1,399,646 "
2020,South Carolina,6792,"5,132,249 "
2023,Idaho,1324,"1,971,122 "
2022,Utah,338,"3,391,011 "
2023,Michigan,9105,"10,083,356 "
2023,Mississippi,62,"2,943,172 "
2022,North Dakota,286,"781,057 "
2024,Georgia,8568,"11,180,878 "
2023,Washington,7428,"7,857,320 "
2020,California,1005,"39,521,958 "
2023,Kansas,48,"2,951,500 "
2023,Missouri,370,"6,208,038 "
2020,Florida,46115,"21,592,035 "
2020,Arkansas,88,"3,014,546 "
2021,Pennsylvania,9680,"13,015,571 "
2023,New Hampshire,65,"1,402,199 "
2022,Nevada,678,"3,176,116 "
2022,Massachusetts,561,"7,022,468 "
2023,South Dakota,9,"918,305 "
2023,Oregon,4800,"4,253,653 "
2024,Vermont,507,"648,493 "
2024,Missouri,108,"6,245,466 "
2021,New Hampshire,1883,"1,387,677 "
2020,Michigan,3,"10,072,703 "
2023,Alaska,29,"736,510 "
2024,Michigan,1394,"10,140,459 "
2021,New Jersey,11869,"9,270,541 "
2022,Massachusetts,708,"7,022,468 "
2021,Wyoming,7,"579,636 "
2022,South Dakota,596,"909,723 "
2020,South Dakota,50,"887,948 "
2020,Michigan,1,"10,072,703 "
2024,Delaware,380,"1,051,917 "
2020,Illinois,8999,"12,799,088 "
2022,Pennsylvania,7944,"12,984,990 "
2020,North Carolina,980,"10,449,652 "
2020,Iowa,427,"3,191,141 "
2021,Washington,7463,"7,743,760 "
2021,South Dakota,9,"896,492 "
2020,Tennessee,227,"6,927,904 "
2021,California,1889,"39,142,565 "
2022,Washington,128,"7,794,123 "
2024,Maryland,515,"6,263,220 "
2021,California,4834,"39,142,565 "
2021,Alaska,862,"734,420 "
2020,New Jersey,11330,"9,272,794 "
2022,Tennessee,9261,"7,062,217 "
2021,Rhode Island,215,"1,097,246 "
2022,Rhode Island,182,"1,099,498 "
2024,Ohio,12401,"11,883,304 "
2020,South Carolina,6860,"5,132,249 "
2021,Vermont,865,"647,210 "
2024,South Carolina,5418,"5,478,831 "
2020,Kansas,40,"2,938,172 "
2022,Virginia,753,"8,683,414 "
2022,Vermont,356,"648,142 "
2023,Columbia,9,"687,324 "
2020,Wyoming,15,"577,681 "
2024,North Dakota,339,"796,568 "
2022,Virginia,12529,"8,683,414 "
2023,Indiana,40,"6,880,131 "
2021,Oklahoma,5771,"3,992,238 "
2023,Alabama,15,"5,117,673 "
2022,Kansas,58,"2,937,324 "
2023,Kentucky,3697,"4,550,595 "
2022,Idaho,2618,"1,944,299 "
2024,South Dakota,893,"924,669 "
2021,Delaware,308,"1,005,062 "
2022,New Mexico,44,"2,113,868 "
2024,Ohio,7558,"11,883,304 "
2022,Iowa,77,"3,202,820 "
2023,Missouri,515,"6,208,038 "
2023,Ohio,867,"11,824,034 "
2024,Rhode Island,650,"1,112,308 "
2022,North Dakota,18,"781,057 "
2020,Arkansas,4144,"3,014,546 "
2024,Illinois,11790,"12,710,158 "
2023,Wyoming,304,"585,067 "
2022,Minnesota,334,"5,721,621 "
2024,Mississippi,31,"2,943,045 "
2024,Michigan,1173,"10,140,459 "
2022,Ohio,9710,"11,777,874 "
2024,New Mexico,23,"2,130,256 "
2020,South Dakota,456,"887,948 "
2021,Colorado,9321,"5,814,036 "
2024,Wyoming,455,"587,618 "
2021,Washington,9904,"7,743,760 "
2021,Oklahoma,5115,"3,992,238 "
2022,Arizona,70,"7,377,566 "
2020,Alabama,5290,"5,033,094 "
2023,Arizona,5748,"7,473,027 "
2023,New Hampshire,66,"1,402,199 "
2024,Missouri,442,"6,245,466 "
2022,Maryland,28,"6,192,440 "
2023,Illinois,10045,"12,642,259 "
2021,Montana,47,"1,106,522 "
2024,Connecticut,3233,"3,675,069 "
2020,Montana,1610,"1,087,230 "
2023,West Virginia,117,"1,770,495 "
2022,West Virginia,994,"1,774,122 "
2024,Colorado,679,"5,957,493 "
2022,New Mexico,762,"2,113,868 "
2020,Alabama,133,"5,033,094 "
2021,Mississippi,7,"2,947,209 "
2022,Kentucky,4188,"4,519,233 "
2020,Colorado,5639,"5,787,129 "
2020,Hawaii,1038,"1,451,252 "
2023,North Carolina,589,"10,881,189 "
2022,New Hampshire,2212,"1,396,678 "
2022,Hawaii,8,"1,440,359 "
2020,Wisconsin,425,"5,897,375 "
2020,South Carolina,9036,"5,132,249 "
2024,Montana,541,"1,137,233 "
2021,Iowa,3260,"3,198,613 "
2021,Louisiana,3225,"4,627,971 "
2020,Virginia,8015,"8,637,615 "
2024,Arizona,6707,"7,582,384 "
2024,Minnesota,909,"5,793,151 "
2021,Tennessee,64,"6,965,740 "
2020,Mississippi,5,"2,958,536 "
2024,Utah,3196,"3,503,613 "
2023,South Carolina,3339,"5,387,830 "
2020,Virginia,1272,"8,637,615 "
2021,Georgia,87,"10,792,060 "
2024,Missouri,124,"6,245,466 "
2024,Idaho,51,"2,001,619 "
2020,Arizona,100,"7,187,135 "
2021,Alaska,71,"734,420 "
2023,Kentucky,2629,"4,550,595 "
2021,Maryland,673,"6,179,403 "
2024,Illinois,10401,"12,710,158 "
2022,Connecticut,338,"3,617,925 "
2023,Illinois,10747,"12,642,259 "
2024,North Dakota,6,"796,568 "
2023,Colorado,4949,"5,901,339 "
2024,California,1190,"39,431,263 "
2024,Montana,56,"1,137,233 "
2023,Iowa,22,"3,218,414 "
2023,California,18449,"39,198,693 "
2024,Nevada,2557,"3,267,467 "
2024,Illinois,1216,"12,710,158 "
2023,South Carolina,549,"5,387,830 "
2022,California,1087,"39,142,414 "
2024,California,21669,"39,431,263 "
2024,New York,1287,"19,867,248 "
2020,Maryland,6981,"6,177,935 "
2020,Arizona,8126,"7,187,135 "
2024,Minnesota,238,"5,793,151 "
2020,New Mexico,74,"2,118,606 "
2022,North Carolina,11519,"10,710,793 "
2023,Wisconsin,30,"5,930,405 "
2023,South Carolina,431,"5,387,830 "
2022,Kentucky,4835,"4,519,233 "
2022,New York,331,"19,703,747 "
2022,North Carolina,1081,"10,710,793 "
2022,Kentucky,43,"4,519,233 "
2020,Iowa,45,"3,191,141 "
2020,Texas,39372,"29,239,570 "
2022,Illinois,8543,"12,621,821 "
2022,Michigan,13110,"10,050,877 "
2023,Iowa,40,"3,218,414 "
2024,California,736,"39,431,263 "
2020,Wisconsin,841,"5,897,375 "
2021,New Jersey,8459,"9,270,541 "
2024,Wyoming,579,"587,618 "
2020,Alaska,30,"733,017 "
2020,Connecticut,1963,"3,579,918 "
2020,West Virginia,1187,"1,791,646 "
2021,Nebraska,22,"1,964,537 "
2021,Virginia,10869,"8,658,910 "
2021,Oregon,5283,"4,254,280 "
2023,Minnesota,1158,"5,753,048 "
2023,New Hampshire,255,"1,402,199 "
2024,Florida,33209,"23,372,215 "
2024,West Virginia,145,"1,769,979 "
2022,Arkansas,49,"3,047,704 "
2024,Washington,4388,"7,958,180 "
2021,Kansas,41,"2,938,338 "
2020,South Carolina,489,"5,132,249 "
2021,Kentucky,55,"4,507,583 "
2023,New Jersey,4236,"9,379,642 "
2024,Massachusetts,1147,"7,136,171 "
2022,Kansas,60,"2,937,324 "
2024,Ohio,359,"11,883,304 "
2020,Texas,929,"29,239,570 "
2024,Nebraska,9,"2,005,465 "
2020,West Virginia,85,"1,791,646 "
2023,Rhode Island,824,"1,103,429 "
2021,West Virginia,13,"1,785,618 "
2024,Missouri,6656,"6,245,466 "
2023,Wisconsin,502,"5,930,405 "
2020,Massachusetts,1236,"6,994,598 "
2020,Wisconsin,502,"5,897,375 "
2020,North Dakota,36,"779,563 "
2020,Louisiana,14,"4,652,301 "
2022,South Carolina,429,"5,287,935 "
2024,Kansas,2471,"2,970,606 "
2023,Georgia,48,"11,064,432 "
2023,Kansas,29,"2,951,500 "
2020,Kansas,2733,"2,938,172 "
2022,Kansas,39,"2,937,324 "
2024,Mississippi,10,"2,943,045 "
2021,Mississippi,12,"2,947,209 "
2021,Oklahoma,23,"3,992,238 "
2021,Tennessee,7329,"6,965,740 "
2022,Louisiana,176,"4,593,687 "
2024,Columbia,240,"702,250 "
2021,Arizona,1043,"7,274,078 "
2024,Mississippi,9,"2,943,045 "
2020,Connecticut,225,"3,579,918 "
2020,Oklahoma,57,"3,965,415 "
2021,Alaska,69,"734,420 "
2023,Ohio,32,"11,824,034 "
2021,Missouri,6065,"6,171,374 "
2021,Michigan,14929,"10,041,351 "
2020,Alabama,161,"5,033,094 "
2024,Rhode Island,999,"1,112,308 "
2022,Maine,1512,"1,390,922 "
2024,Columbia,223,"702,250 "
2023,Minnesota,212,"5,753,048 "
2021,Ohio,64,"11,767,344 "
2022,Indiana,7385,"6,844,545 "
2024,Alabama,17,"5,157,699 "
2022,Mississippi,1920,"2,941,939 "
2021,Nebraska,119,"1,964,537 "
2020,Massachusetts,6041,"6,994,598 "
2022,Colorado,55,"5,850,935 "
2020,North Dakota,429,"779,563 "
2024,Alabama,5289,"5,157,699 "
2022,Mississippi,1434,"2,941,939 "
2024,Pennsylvania,328,"13,078,751 "
2023,Ohio,11448,"11,824,034 "
2022,Indiana,72,"6,844,545 "
2022,Minnesota,7227,"5,721,621 "
2023,North Dakota,18,"789,047 "
2023,Utah,2527,"3,443,222 "
2022,Maryland,4462,"6,192,440 "
2024,Montana,6,"1,137,233 "
2022,Hawaii,908,"1,440,359 "
2023,Tennessee,258,"7,148,304 "
2020,Ohio,33,"11,798,905 "
2024,Nebraska,2091,"2,005,465 "
2021,New Jersey,524,"9,270,541 "
2021,Connecticut,4429,"3,606,607 "
2021,North Dakota,3,"777,966 "
2024,Arkansas,52,"3,088,354 "
2024,North Carolina,1475,"11,046,024 "
2024,Idaho,46,"2,001,619 "
2024,New York,1008,"19,867,248 "
2024,Alabama,4441,"5,157,699 "
2023,Rhode Island,114,"1,103,429 "
2023,Vermont,41,"648,708 "
2021,Wisconsin,421,"5,881,608 "
2022,Pennsylvania,3600,"12,984,990 "
2022,Hawaii,551,"1,440,359 "
2020,New Mexico,1,"2,118,606 "
2024,Iowa,33,"3,241,488 "
2023,Texas,28961,"30,727,890 "
2024,Nevada,2807,"3,267,467 "
2021,Illinois,3769,"12,700,641 "
2020,Connecticut,4312,"3,579,918 "
2022,Texas,346,"30,113,488 "
2021,New Hampshire,296,"1,387,677 "
2020,Florida,1968,"21,592,035 "
2020,Hawaii,559,"1,451,252 "
2021,Michigan,12816,"10,041,351 "
2024,Washington,123,"7,958,180 "
2023,Nevada,3744,"3,214,363 "
2022,Hawaii,16,"1,440,359 "
2021,Columbia,707,"669,256 "
2022,Idaho,2437,"1,944,299 "
2022,Minnesota,209,"5,721,621 "
2021,Arkansas,3803,"3,026,870 "
2020,Minnesota,365,"5,710,735 "
2024,Indiana,68,"6,924,275 "
2020,Oklahoma,3888,"3,965,415 "
2023,Delaware,25,"1,036,423 "
2022,Georgia,13537,"10,931,805 "
2021,North Carolina,17054,"10,564,320 "
2024,Idaho,1758,"2,001,619 "
2020,Indiana,10039,"6,790,497 "
2021,Nebraska,30,"1,964,537 "
2024,Wisconsin,6167,"5,960,975 "
2024,Mississippi,3,"2,943,045 "
2023,New York,8829,"19,737,367 "
2021,Wisconsin,728,"5,881,608 "
2023,Colorado,34,"5,901,339 "
2024,Alabama,4933,"5,157,699 "
